User_ID,Cust_Name,Product_ID,Gender,Age_Group,Age,Marital_Status,State,Zone,Occupation,Books,Orders,Amount
100000,Amit Sharma,1591,Female,26-35,54,Divorced,UP,South,,The White Tiger,,255.08
100001,Rahul Singh,2426,Other,36-45,38,Married,,North,Doctor,Gitanjali,2,7449.47
100002,Deepak Choudhary,3959,Male,46-60,55,Married,Gujarat,East,Doctor,Midnight’s Children,5,2024.92
100003,Priya Verma,1937,Other,46-60,69,Divorced,Karnataka,East,Artist,The White Tiger,1,255.08
100004,Sanjay Mehta,4256,Female,46-60,68,Married,Karnataka,Central,Business,The White Tiger,4,255.08
100005,Deepak Choudhary,2268,Female,18-25,22,Single,UP,East,Business,A Suitable Boy,8,2590.53
100006,Priya Verma,,Male,46-60,55,Married,Karnataka,East,Teacher,Gitanjali,3,7449.47
100007,Sanjay Mehta,2881,Female,36-45,48,Divorced,Gujarat,East,Artist,The Guide,6,4147.26
100008,Priya Verma,1575,Male,46-60,35,Single,Karnataka,Central,Doctor,Midnight’s Children,5,2024.92
100009,Neha Gupta,4604,Male,26-35,,,UP,North,,The God of Small Things,1,2816.7
,Priya Verma,1104,Female,36-45,29,Married,Delhi,Central,Engineer,Malgudi Days,7,7435
100011,Priya Verma,3782,Female,60+,32,Single,West Bengal,East,Teacher,Interpreter of Maladies,9,6889.31
100012,Anjali Nair,4992,Other,46-60,39,Single,Maharashtra,Central,Doctor,A Suitable Boy,9,2590.53
100013,Priya Verma,2983,Male,46-60,49,Married,,North,Engineer,A Suitable Boy,9,2590.53
100014,Amit Sharma,1745,Other,46-60,35,Divorced,Maharashtra,North,Business,Ramayana,7,8854.81
100015,Neha Gupta,1066,Female,18-25,59,Married,UP,West,Other,Ramayana,3,8854.81
100016,Deepak Choudhary,2784,Male,18-25,19,Single,Tamil Nadu,East,Business,The White Tiger,7,255.08
100017,Arjun Reddy,2369,Other,18-25,54,Divorced,Delhi,West,Teacher,The Guide,9,4147.26
